Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,cluster,Latitude,Longitude,City Based on Longitude Latitude
Indonesia,Pontianak,44,Good,1,Good,15,Good,0,Good,44,Good,3,-0.0226903,109.3447488,"-0.0226903, 109.3447488"
Indonesia,Tidore,21,Good,0,Good,13,Good,0,Good,21,Good,3,0.6786796,127.4483156,"0.6786796, 127.4483156"
Indonesia,Sungaipenuh,17,Good,1,Good,13,Good,0,Good,17,Good,3,-2.0704139,101.3680585,"-2.0704139, 101.3680585"
Indonesia,Tarogong,88,Moderate,2,Good,53,Moderate,1,Good,88,Moderate,0,-7.1900014,107.8898516,"-7.1900014, 107.8898516"
Indonesia,Binjai,92,Moderate,2,Good,45,Good,0,Good,92,Moderate,0,3.6063964,98.4899865,"3.6063964, 98.4899865"
Indonesia,Pamekasan,54,Moderate,1,Good,35,Good,0,Good,54,Moderate,3,-7.1605439,113.4826273,"-7.1605439, 113.4826273"
Indonesia,Prabumulih,49,Good,1,Good,30,Good,0,Good,49,Good,3,-3.4382688,104.2310181,"-3.4382688, 104.2310181"
Indonesia,Pringsewu,63,Moderate,2,Good,40,Good,0,Good,63,Moderate,0,-5.36668925,104.9722121,"-5.36668925, 104.9722121"
Indonesia,Lubuk Pakam,98,Moderate,2,Good,47,Good,0,Good,98,Moderate,0,3.5603701,98.8766933,"3.5603701, 98.8766933"
Indonesia,Mojoagung,155,Unhealthy,3,Good,91,Moderate,2,Good,155,Unhealthy,1,-7.5699054,112.344923,"-7.5699054, 112.344923"
Indonesia,Lamongan,167,Unhealthy,3,Good,123,Unhealthy for Sensitive Groups,1,Good,167,Unhealthy,1,-7.12293185,112.3281935,"-7.12293185, 112.3281935"
Indonesia,Karang Tengah,105,Unhealthy for Sensitive Groups,2,Good,59,Moderate,1,Good,105,Unhealthy for Sensitive Groups,0,-6.2179617,106.7071278,"-6.2179617, 106.7071278"
Indonesia,Kembaran,54,Moderate,1,Good,29,Good,1,Good,54,Moderate,3,-7.3940996,109.987961,"-7.3940996, 109.987961"
Indonesia,Malang,67,Moderate,1,Good,36,Good,0,Good,67,Moderate,0,-7.9771206,112.6340291,"-7.9771206, 112.6340291"
Indonesia,Kutoarjo,58,Moderate,1,Good,28,Good,0,Good,58,Moderate,3,-7.72603,109.9070809,"-7.72603, 109.9070809"
Indonesia,Mataram,34,Good,1,Good,25,Good,0,Good,34,Good,3,-8.5837726,116.10685,"-8.5837726, 116.10685"
Indonesia,Mertoyudan,66,Moderate,1,Good,32,Good,1,Good,66,Moderate,0,-7.5108329,110.2241571,"-7.5108329, 110.2241571"
Indonesia,Driyorejo,157,Unhealthy,2,Good,84,Moderate,2,Good,157,Unhealthy,1,-7.3654117,112.6017226,"-7.3654117, 112.6017226"
Indonesia,Ngaglik,60,Moderate,1,Good,29,Good,1,Good,60,Moderate,3,-7.7325636,111.3093583,"-7.7325636, 111.3093583"
Indonesia,Purwakarta,101,Unhealthy for Sensitive Groups,2,Good,90,Moderate,1,Good,101,Unhealthy for Sensitive Groups,0,-6.5607313,107.4439799,"-6.5607313, 107.4439799"
Indonesia,Palembang,74,Moderate,2,Good,47,Good,0,Good,74,Moderate,0,-2.9888243,104.7568507,"-2.9888243, 104.7568507"
Indonesia,Pameungpeuk,97,Moderate,2,Good,70,Moderate,1,Good,97,Moderate,0,-7.6318844,107.7307524,"-7.6318844, 107.7307524"
Indonesia,Leuwiliang,264,Very Unhealthy,15,Good,8,Good,52,Moderate,264,Very Unhealthy,2,-6.5745161,106.6343847,"-6.5745161, 106.6343847"
Indonesia,Sidareja,189,Unhealthy,10,Good,7,Good,25,Good,189,Unhealthy,2,-7.4863529,108.8075095,"-7.4863529, 108.8075095"
Indonesia,Wlingi,176,Unhealthy,8,Good,10,Good,17,Good,176,Unhealthy,2,-8.0884268,112.3198687,"-8.0884268, 112.3198687"
Indonesia,Mlonggo,82,Moderate,2,Good,50,Good,1,Good,82,Moderate,0,-6.5920048,110.6758943,"-6.5920048, 110.6758943"
Indonesia,Ngoro,121,Unhealthy for Sensitive Groups,2,Good,60,Moderate,1,Good,121,Unhealthy for Sensitive Groups,1,-7.675317,112.261647,"-7.675317, 112.261647"
Indonesia,Ciampea,154,Unhealthy,4,Good,154,Unhealthy,2,Good,126,Unhealthy for Sensitive Groups,1,-6.57894495,106.7019724,"-6.57894495, 106.7019724"
Indonesia,Balaipungut,57,Moderate,2,Good,12,Good,2,Good,57,Moderate,3,1.1066382,101.3073326,"1.1066382, 101.3073326"
Indonesia,Bandung,198,Unhealthy,11,Good,6,Good,30,Good,198,Unhealthy,2,-6.9215529,107.6110212,"-6.9215529, 107.6110212"
Indonesia,Boyolali,201,Very Unhealthy,12,Good,2,Good,28,Good,201,Very Unhealthy,2,-7.3872118,110.7038691,"-7.3872118, 110.7038691"
Indonesia,Brebes,151,Unhealthy,5,Good,23,Good,10,Good,151,Unhealthy,2,-7.05207115,108.888136,"-7.05207115, 108.888136"
Indonesia,Sabang,40,Good,1,Good,23,Good,0,Good,40,Good,3,5.888034,95.316528,"5.888034, 95.316528"
Indonesia,Sumber,54,Moderate,1,Good,34,Good,0,Good,54,Moderate,3,-6.85885265,111.9881374,"-6.85885265, 111.9881374"
Indonesia,Waingapu,55,Moderate,0,Good,25,Good,0,Good,55,Moderate,3,-9.652179,120.2636908,"-9.652179, 120.2636908"
Indonesia,Balung,100,Unhealthy for Sensitive Groups,2,Good,45,Good,1,Good,100,Unhealthy for Sensitive Groups,0,-8.275754,113.537299,"-8.275754, 113.537299"
Indonesia,Wanaraja,57,Moderate,1,Good,29,Good,1,Good,57,Moderate,3,-7.2190966,109.7456932,"-7.2190966, 109.7456932"
Indonesia,Sukaraja,67,Moderate,1,Good,40,Good,1,Good,67,Moderate,0,-6.8901546,107.5662896,"-6.8901546, 107.5662896"
Indonesia,Prigen,153,Unhealthy,3,Good,84,Moderate,2,Good,153,Unhealthy,1,-7.6805545,112.6406232,"-7.6805545, 112.6406232"
Indonesia,Sibolga,35,Good,0,Good,14,Good,0,Good,35,Good,3,1.736957,98.78461,"1.736957, 98.78461"
Indonesia,Sumbawa,25,Good,1,Good,25,Good,0,Good,21,Good,3,-8.5949025,117.2716068,"-8.5949025, 117.2716068"
Indonesia,Klangenan,67,Moderate,1,Good,38,Good,1,Good,67,Moderate,0,-6.6820585,108.4470156,"-6.6820585, 108.4470156"
Indonesia,Kebonarum,65,Moderate,1,Good,32,Good,1,Good,65,Moderate,0,-6.974232,110.432749,"-6.974232, 110.432749"
Indonesia,Kebumen,61,Moderate,1,Good,34,Good,0,Good,61,Moderate,3,-7.6686894,109.6519465,"-7.6686894, 109.6519465"
Indonesia,Sidoarjo,153,Unhealthy,2,Good,58,Moderate,2,Good,153,Unhealthy,1,-7.45597405,112.6608877,"-7.45597405, 112.6608877"
Indonesia,Kaliwungu,113,Unhealthy for Sensitive Groups,3,Good,100,Unhealthy for Sensitive Groups,2,Good,113,Unhealthy for Sensitive Groups,1,-7.4617145,110.6147021,"-7.4617145, 110.6147021"
Indonesia,Genteng,41,Good,1,Good,25,Good,0,Good,41,Good,3,-7.2604985,112.745174,"-7.2604985, 112.745174"
Indonesia,Gatak,79,Moderate,2,Good,45,Good,1,Good,79,Moderate,0,-7.5909215,110.7449837,"-7.5909215, 110.7449837"
Indonesia,Cileungsi,146,Unhealthy for Sensitive Groups,3,Good,142,Unhealthy for Sensitive Groups,2,Good,146,Unhealthy for Sensitive Groups,1,-6.3982206,106.9818924,"-6.3982206, 106.9818924"
Indonesia,Ciranjang,109,Unhealthy for Sensitive Groups,2,Good,87,Moderate,1,Good,109,Unhealthy for Sensitive Groups,1,-6.7864594,107.2832236,"-6.7864594, 107.2832236"
Indonesia,Banjarmasin,42,Good,1,Good,20,Good,0,Good,42,Good,3,-3.3187496,114.5925828,"-3.3187496, 114.5925828"
Indonesia,Pacet,98,Moderate,2,Good,84,Moderate,1,Good,98,Moderate,0,-7.6665791,112.5371895,"-7.6665791, 112.5371895"
Indonesia,Wonosobo,81,Moderate,2,Good,48,Good,0,Good,81,Moderate,0,-7.39979995,109.9209645,"-7.39979995, 109.9209645"
Indonesia,Weleri,81,Moderate,2,Good,58,Moderate,0,Good,81,Moderate,0,-6.970644,110.0697728,"-6.970644, 110.0697728"
Indonesia,Martapura,28,Good,1,Good,20,Good,0,Good,28,Good,3,-3.4086465,114.848837,"-3.4086465, 114.848837"
Indonesia,Surabaya,152,Unhealthy,1,Good,45,Good,1,Good,152,Unhealthy,2,-7.2459717,112.7378266,"-7.2459717, 112.7378266"
Indonesia,Bojonegoro,104,Unhealthy for Sensitive Groups,2,Good,49,Good,0,Good,104,Unhealthy for Sensitive Groups,0,-7.22787145,111.81462,"-7.22787145, 111.81462"
Indonesia,Bone,17,Good,0,Good,17,Good,0,Good,14,Good,3,-4.6801018,120.0946735,"-4.6801018, 120.0946735"
Indonesia,Gresik,115,Unhealthy for Sensitive Groups,1,Good,43,Good,1,Good,115,Unhealthy for Sensitive Groups,0,-5.79334655,112.6598223,"-5.79334655, 112.6598223"
Indonesia,Sijunjung,42,Good,1,Good,20,Good,0,Good,42,Good,3,-0.6964425,100.9936303,"-0.6964425, 100.9936303"
Indonesia,Sleman,63,Moderate,1,Good,34,Good,1,Good,63,Moderate,0,-7.6894175,110.3812904,"-7.6894175, 110.3812904"
Indonesia,Talang,161,Unhealthy,7,Good,18,Good,15,Good,161,Unhealthy,2,-6.913297,109.134514,"-6.913297, 109.134514"
Indonesia,Lebaksiu,86,Moderate,2,Good,76,Moderate,1,Good,86,Moderate,0,-7.0469368,109.1467653,"-7.0469368, 109.1467653"
Indonesia,Manado,30,Good,0,Good,16,Good,0,Good,30,Good,3,1.4900578,124.8408708,"1.4900578, 124.8408708"
Indonesia,Salatiga,83,Moderate,2,Good,49,Good,1,Good,83,Moderate,0,-7.3302642,110.4995353,"-7.3302642, 110.4995353"
Indonesia,Sepatan,205,Very Unhealthy,5,Good,205,Very Unhealthy,4,Good,163,Unhealthy,4,-6.12319355,106.5839802,"-6.12319355, 106.5839802"
Indonesia,Pamulang,201,Very Unhealthy,5,Good,201,Very Unhealthy,4,Good,161,Unhealthy,4,-6.33321675,106.7226636,"-6.33321675, 106.7226636"
Indonesia,Pandaan,154,Unhealthy,3,Good,112,Unhealthy for Sensitive Groups,2,Good,154,Unhealthy,1,-7.6532322,112.6872932,"-7.6532322, 112.6872932"
Indonesia,Parung,171,Unhealthy,4,Good,171,Unhealthy,2,Good,150,Unhealthy,4,-6.4405056,106.7171996,"-6.4405056, 106.7171996"
Indonesia,Banjar,75,Moderate,1,Good,46,Good,0,Good,75,Moderate,0,-3.38333,115.08333,"-3.38333, 115.08333"
Indonesia,Bogor,170,Unhealthy,4,Good,170,Unhealthy,2,Good,152,Unhealthy,4,-6.5962986,106.7972421,"-6.5962986, 106.7972421"
Indonesia,Muntilan,71,Moderate,1,Good,37,Good,1,Good,71,Moderate,0,-7.60616105,110.2585063,"-7.60616105, 110.2585063"
Indonesia,Ciparay,91,Moderate,2,Good,52,Moderate,1,Good,91,Moderate,0,-7.2696909,106.6187283,"-7.2696909, 106.6187283"
Indonesia,Tegal,149,Unhealthy for Sensitive Groups,4,Good,25,Good,9,Good,149,Unhealthy for Sensitive Groups,2,-7.05644335,109.1315766,"-7.05644335, 109.1315766"
Indonesia,Tuban,61,Moderate,1,Good,15,Good,3,Good,61,Moderate,3,-6.8962656,112.0650714,"-6.8962656, 112.0650714"
Indonesia,Gebog,161,Unhealthy,5,Good,2,Good,22,Good,161,Unhealthy,2,-6.7351047,110.8440684,"-6.7351047, 110.8440684"
Indonesia,Pamanukan,156,Unhealthy,3,Good,22,Good,9,Good,156,Unhealthy,2,-6.2841644,107.8210101,"-6.2841644, 107.8210101"
Indonesia,Merauke,34,Good,0,Good,21,Good,0,Good,34,Good,3,-7.7925193,140.0183252,"-7.7925193, 140.0183252"
Indonesia,Karanganom,57,Moderate,1,Good,32,Good,0,Good,57,Moderate,3,-7.6463532,110.624519,"-7.6463532, 110.624519"
Indonesia,Bekasi,193,Unhealthy,9,Good,16,Good,29,Good,193,Unhealthy,2,-6.2349858,106.9945444,"-6.2349858, 106.9945444"
Indonesia,Ciledug,166,Unhealthy,7,Good,11,Good,19,Good,166,Unhealthy,2,-6.2411161,106.704293,"-6.2411161, 106.704293"
Indonesia,Ubud,35,Good,1,Good,26,Good,0,Good,35,Good,3,-8.5068977,115.2622931,"-8.5068977, 115.2622931"
Indonesia,Sunggal,76,Moderate,2,Good,41,Good,0,Good,76,Moderate,0,3.5754225,98.6142296,"3.5754225, 98.6142296"
