Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,cluster,Latitude,Longitude,City Based on Longitude Latitude
Indonesia,Klaten,48,Good,1,Good,27,Good,0,Good,48,Good,3,-7.67318995,110.6285096,"-7.67318995, 110.6285096"
Indonesia,Tondano,29,Good,0,Good,15,Good,0,Good,29,Good,3,1.3012112,124.9108982,"1.3012112, 124.9108982"
Indonesia,Bambanglipuro,37,Good,1,Good,24,Good,0,Good,37,Good,3,-7.9573446,110.3053279,"-7.9573446, 110.3053279"
Indonesia,Singaraja,48,Good,1,Good,30,Good,0,Good,48,Good,3,-8.1133599,115.0839326,"-8.1133599, 115.0839326"
Indonesia,Bulakamba,83,Moderate,2,Good,45,Good,1,Good,83,Moderate,0,-6.8748195,108.9566007,"-6.8748195, 108.9566007"
Indonesia,Cisaat,140,Unhealthy for Sensitive Groups,2,Good,91,Moderate,1,Good,140,Unhealthy for Sensitive Groups,1,-6.9178947,106.867208,"-6.9178947, 106.867208"
Indonesia,Cianjur,96,Moderate,2,Good,78,Moderate,1,Good,96,Moderate,0,-7.0542441,107.0691428,"-7.0542441, 107.0691428"
Indonesia,Cibinong,173,Unhealthy,4,Good,173,Unhealthy,3,Good,150,Unhealthy,4,-6.48243585,106.8383271,"-6.48243585, 106.8383271"
Indonesia,Besuki,58,Moderate,1,Good,37,Good,0,Good,58,Moderate,3,-7.7343144,113.6902407,"-7.7343144, 113.6902407"
Indonesia,Rengasdengklok,98,Moderate,2,Good,84,Moderate,1,Good,98,Moderate,0,-6.156201,107.2924268,"-6.156201, 107.2924268"
Indonesia,Ruteng,24,Good,1,Good,24,Good,0,Good,19,Good,3,-8.6110678,120.4645903,"-8.6110678, 120.4645903"
Indonesia,Sukabumi,97,Moderate,2,Good,67,Moderate,1,Good,97,Moderate,0,-7.07645085,106.7346608,"-7.07645085, 106.7346608"
Indonesia,Balapulang,78,Moderate,2,Good,62,Moderate,1,Good,78,Moderate,0,-7.0498077,109.0978378,"-7.0498077, 109.0978378"
Indonesia,Jember,46,Good,1,Good,27,Good,0,Good,46,Good,3,-8.1688563,113.7021772,"-8.1688563, 113.7021772"
Indonesia,Tambun,147,Unhealthy for Sensitive Groups,3,Good,147,Unhealthy for Sensitive Groups,1,Good,128,Unhealthy for Sensitive Groups,1,-6.2512617,107.073479,"-6.2512617, 107.073479"
Indonesia,Wates,73,Moderate,1,Good,39,Good,0,Good,73,Moderate,0,-7.88590185,110.140752,"-7.88590185, 110.140752"
Indonesia,Lumajang,42,Good,1,Good,26,Good,0,Good,42,Good,3,-8.135205,113.2244162,"-8.135205, 113.2244162"
Indonesia,Tanggul,160,Unhealthy,6,Good,9,Good,12,Good,160,Unhealthy,2,-8.1627759,113.4482635,"-8.1627759, 113.4482635"
Indonesia,Barabai,67,Moderate,2,Good,5,Good,2,Good,67,Moderate,3,-2.58553,115.3845228,"-2.58553, 115.3845228"
